Episode,Contestants,ChW,ChA,SO,VFB,VAP,TotV,TCA,TCV,VFT,InRCA,InRCW,InICA,InICW,TRCA,TRCW,TICA,TICW,Reward win?,Reward #people,Reward win%,Immunity win,Immunity #people,Immunity win%,Immunity total win%,Sex,Age,Occupation,Hometown,Home State,Tribe
3,Stacey,0.142857143,0.285714286,,0,5,7,1,Rudy,,,,,,1,1,1,,1,7,0.142857143,0,7,0,0.142857143,F,27,Attorney,San Francisco,CA,Tagi
4,Richard,0.333333333,0.333333333,,,,,,,,,,,,1,1,1,1,1,6,0.166666667,1,6,0.166666667,0.333333333,M,38,Corporate Trainer,Newport,RI,Tagi
4,Kelly W,0.333333333,0.333333333,,,,,,,,,,,,1,1,1,1,1,6,0.166666667,1,6,0.166666667,0.333333333,F,22,River Rafting Guide,Kernville,CA,Tagi
4,Rudy,0.333333333,0.333333333,,,,,,,,,,,,1,1,1,1,1,6,0.166666667,1,6,0.166666667,0.333333333,M,72,Retired Navy SEAL,Virginia Beach,VA,Tagi
4,Sue,0.333333333,0.333333333,,,,,,,,,,,,1,1,1,1,1,6,0.166666667,1,6,0.166666667,0.333333333,F,38,Truck Driver,Palmyra,WI,Tagi
4,Sean,0.333333333,0.333333333,,,,,,,,,,,,1,1,1,1,1,6,0.166666667,1,6,0.166666667,0.333333333,M,30,Neurosurgeon,Carle Place,NY,Tagi
4,Colleen,0,0.30952381,,1,2,7,1,Ramona,,,,,,1,,1,,0,7,0,0,6,0,0,M,23,Student,Miami Beach,FL,Pagong
4,Gervase,0,0.30952381,,0,,7,1,Colleen,1,,,,,1,,1,,0,7,0,0,6,0,0,M,30,YMCA Basketball Coach,Willingboro,NJ,Pagong
4,Jenna,0,0.30952381,,1,1,7,1,Ramona,,,,,,1,,1,,0,7,0,0,6,0,0,F,22,Student,Franklin,NJ,Pagong
4,Greg,0,0.30952381,,0,,7,1,Jenna,1,,,,,1,,1,,0,7,0,0,6,0,0,M,24,Ivy League Graduate,Gold Hill,CO,Pagong
4,Gretchen,0,0.30952381,,1,,7,1,Ramona,1,,,,,1,,1,,0,7,0,0,6,0,0,F,38,Teacher,Clarksville,TN,Pagong
4,Joel,0,0.30952381,,1,,7,1,Ramona,1,,,,,1,,1,,0,7,0,0,6,0,0,M,27,Health Club Consultant,Sherwood,AR,Pagong
